"HUD ID Number","Project Name","Project Address","Project City","Project State","Project ZIP Code","County","Total Number of Units","Total Low-Income Units","Compliance Monitoring Status"
"CAA19970385","RESEDA VILLAGE","7939 RESEDA BLVD","RESEDA","CA","91335","Los Angeles County","42","42","Not Indicated"
"CAA19970425","SERRANO APTS","1536 N SERRANO AVE","LOS ANGELES","CA","90027","Los Angeles County","42","41","Not Indicated"
"CAA19970430","SHERMAN OAKS GARDENS & VILLAS","5415 SEPULVEDA BLVD","SHERMAN OAKS","CA","91411","Los Angeles County","76","31","Not Indicated"
"CAA19970490","UNIVERSITY PARK APTS","1221 W 29TH ST","LOS ANGELES","CA","90007","Los Angeles County","20","19","Not Indicated"
"CAA19970495","VANOWEN GARDENS","11754 VANOWEN ST","NORTH HOLLYWOOD","CA","91605","Los Angeles County","15","15","Not Indicated"
"CAA19970530","WASHINGTON COURT","12525 WASHINGTON PL","LOS ANGELES","CA","90066","Los Angeles County","30","30","Not Indicated"
"CAA19970540","WILCOX APTS","1805 WILCOX AVE","HOLLYWOOD","CA","90028","Los Angeles County","23","23","Not Indicated"
"CAA19979556","HARBOR VILLAGE APTS I (B)","1011 BAYCREST LN","HARBOR CITY","CA","90710","Los Angeles County","200","200","Not Indicated"
"CAA19980005","39 WEST APTS","3885 S WESTERN AVE","LOS ANGELES","CA","90062","Los Angeles County","34","34","Not Indicated"
"CAA19980010","5TH & WILSHIRE APTS","1144 FIFTH ST","SANTA MONICA","CA","90403","Los Angeles County","32","32","Not Indicated"
"CAA19980065","BROOKHOLLOW APTS","2600 S AZUSA AVE","WEST COVINA","CA","91792","Los Angeles County","188","85","Not Indicated"
"CAA19980070","CAMBRIA APTS","738 S UNION AVE","LOS ANGELES","CA","90017","Los Angeles County","40","39","Not Indicated"
"CAA19980080","CASANOVA GARDENS","433 CASANOVA ST","LOS ANGELES","CA","90012","Los Angeles County","27","27","Not Indicated"
"CAA19980085","CLARA COURT","5159 CLARA ST","CUDAHY","CA","90201","Los Angeles County","35","35","Not Indicated"
"CAA19980090","COCHRAN CITY LIGHTS","1315 S COCHRAN AVE","LOS ANGELES","CA","90019","Los Angeles County","25","25","Not Indicated"
"CAA19980140","SEGUNDO TERRACE","2242 E EL SEGUNDO BLVD","COMPTON","CA","90222","Los Angeles County","25","25","Not Indicated"
"CAA19980150","FIGUEROA COURT APTS","9130 S FIGUEROA ST","LOS ANGELES","CA","90003","Los Angeles County","40","39","Not Indicated"
"CAA19980165","GARLAND CITY LIGHTS","1209 W EIGHTH ST","LOS ANGELES","CA","90017","Los Angeles County","72","72","Not Indicated"
"CAA19980185","HAZELTINE APTS","7250 HAZELTINE AVE","VAN NUYS","CA","91405","Los Angeles County","35","34","Not Indicated"
"CAA19980215","LARK ELLEN VILLAGE","1350 E SAN BERNARDINO RD","WEST COVINA","CA","91791","Los Angeles County","121","121","Not Indicated"
"CAA19980240","LOS ALTOS APTS APTS","4121 WILSHIRE BLVD","LOS ANGELES","CA","90010","Los Angeles County","67","27","Not Indicated"
"CAA19980260","MISSION VILLAGE TERRACE","4001 N MISSION RD","LOS ANGELES","CA","90032","Los Angeles County","84","83","Not Indicated"
"CAA19980275","NORMANDIE VILLAGE","1747 N NORMANDIE AVE","LOS ANGELES","CA","90027","Los Angeles County","16","16","Not Indicated"
"CAA19980300","OROZCO VILLAS","8920 ORION AVE","NORTH HILLS","CA","91343","Los Angeles County","32","32","Not Indicated"
"CAA19980315","PALM VIEW APTS","980 PALM AVE","WEST HOLLYWOOD","CA","90069","Los Angeles County","40","39","Not Indicated"
"CAA19980320","PALM VILLAGE","1011 W 91ST ST","LOS ANGELES","CA","90044","Los Angeles County","30","30","Not Indicated"
"CAA19980330","PALMER HOUSE","538 WALL ST","LOS ANGELES","CA","90013","Los Angeles County","67","67","Not Indicated"
"CAA19980340","PARK RIDGE APTS","9555 RESEDA BLVD","NORTHRIDGE","CA","91324","Los Angeles County","158","64","Not Indicated"
"CAA19980365","PAZ VILLAS","14643 BLYTHE ST","VAN NUYS","CA","91402","Los Angeles County","13","13","Not Indicated"
"CAA19980375","PICO GRAMERCY FAMILY HOUSING","1303 S GRAMERCY PL","LOS ANGELES","CA","90019","Los Angeles County","49","48","Not Indicated"
"CAA19980395","REGENCY APTS","2317 W AVE J8","LANCASTER","CA","93536","Los Angeles County","77","77","Not Indicated"
"CAA19980425","RUGBY PLAZA","3660 RUGBY AVE","HUNTINGTON PARK","CA","","Los Angeles County","183","183","Not Indicated"
"CAA19980430","SAN PEDRO NEW HOPE COURTYARD","1124 S PALOS VERDES ST","SAN PEDRO","CA","90731","Los Angeles County","10","10","Not Indicated"
"CAA19980465","SIERRA RETIREMENT VILLAGE","43321 SIERRA HWY","LANCASTER","CA","93534","Los Angeles County","97","96","Not Indicated"
"CAA19980500","SUNSHINE TERRACE","10800 LAUREL AVE","WHITTIER","CA","90605","Los Angeles County","50","50","Not Indicated"
"CAA19980555","TRES PALMAS","269 LOMA DR","LOS ANGELES","CA","90026","Los Angeles County","19","19","Not Indicated"
"CAA19980615","WESTLAKE CITY LIGHTS","509 S WESTLAKE AVE","LOS ANGELES","CA","90057","Los Angeles County","32","32","Not Indicated"
"CAA19980627","EUCLID VILLA TRANSITION HOUSING","154 S EUCLID AVE","PASADENA","CA","91101","Los Angeles County","15","15","Not Indicated"
"CAA19990005","16TH ST APTS","1438 16TH ST","SANTA MONICA","CA","90404","Los Angeles County","17","17","Not Indicated"
"CAA19990010","ANGELINA APTS","1300 ANGELINA ST","LOS ANGELES","CA","90026","Los Angeles County","81","81","Not Indicated"
"CAA19990035","BLYTHE STREET APTS","14607 BLYTHE ST","PANORAMA CITY","CA","91402","Los Angeles County","31","31","Not Indicated"
"CAA19990040","BOUQUET CANYON SENIOR LIVING","26705 BOUQUET CANYON RD","SANTA CLARITA","CA","91350","Los Angeles County","264","264","Not Indicated"
"CAA19990050","BRYSON FAMILY APTS","2701 WILSHIRE BLVD","LOS ANGELES","CA","90057","Los Angeles County","81","80","Not Indicated"
"CAA19990060","CALIFORNIA HOTEL (SAN PEDRO)","1134 S PACIFIC AVE","SAN PEDRO","CA","90731","Los Angeles County","39","39","Not Indicated"
"CAA19990080","CASA MADRID","20721 VANOWEN ST","CANOGA PARK","CA","91306","Los Angeles County","28","28","Not Indicated"
"CAA19990150","CUDAHY GARDENS","4343 ELIZABETH ST","CUDAHY","CA","90201","Los Angeles County","99","99","Not Indicated"
"CAA19990170","EL CORAZON APTS","7006 ALABAMA AVE","CANOGA PARK","CA","91303","Los Angeles County","12","11","Not Indicated"
"CAA19990190","EMPRESS APTS","514 S WESTLAKE AVE","LOS ANGELES","CA","90057","Los Angeles County","14","14","Not Indicated"
"CAA19990200","FEDORA APTS","836 FEDORA ST","LOS ANGELES","CA","90005","Los Angeles County","23","23","Not Indicated"
"CAA19990205","FIGUEROA OAKS","10210 S FIGUEROA ST","LOS ANGELES","CA","90003","Los Angeles County","31","31","Not Indicated"
"CAA19990235","GWEN BOLDEN MANOR","1302 E 41ST ST","LOS ANGELES","CA","90011","Los Angeles County","24","23","Not Indicated"
"CAA19990240","HACIENDA SENIOR VILLAS","1901 S AZUSA AVE","HACIENDA HEIGHTS","CA","91745","Los Angeles County","151","150","Not Indicated"
"CAA19990250","ROSEWOOD PARK SENIOR APTS","2230 S EASTERN AVE","COMMERCE","CA","90040","Los Angeles County","94","93","Not Indicated"
"CAA19990335","MAIN STREET PLAZA","333 W MAIN ST","ALHAMBRA","CA","91801","Los Angeles County","110","109","Not Indicated"
"CAA19990355","MAYUR TOWN HOMES","5846 CARLTON WAY","LOS ANGELES","CA","90028","Los Angeles County","21","20","Not Indicated"
"CAA19990360","MEDIA VILLAGE SENIOR HOUSING PROJECT","325 N THIRD ST","BURBANK","CA","91502","Los Angeles County","147","146","Not Indicated"
"CAA19990405","PALMS APTS","1920 BATSON AVE","ROWLAND HEIGHTS","CA","91748","Los Angeles County","332","332","Not Indicated"
"CAA19990495","SHERATON TOWN HOUSE","2961 WILSHIRE BLVD","LOS ANGELES","CA","90010","Los Angeles County","142","141","Not Indicated"
"CAA19990515","SOMERSET GLEN APTS","13380 HILLSBOROUGH DR","LA MIRADA","CA","90638","Los Angeles County","160","160","Not Indicated"
