"HUD ID Number","Project Name","Project Address","Project City","Project State","Project ZIP Code","County","Project's Latitude","Project's Longitude","place2020","Total Number of Units","Total Low-Income Units","Placed-In-Service Year","Credit Allocation Year","For-profit/non-profit Sponsor","Credit Type","Home Investment Partnership Funds","Community Development Block Grant (CDBG) Funds","FHA-insured Loan","Part of a HOPE VI Development","Dollar Amount of HOME Funds","Dollar Amount of CDBG Funds","Dollar Amount of HOPEVI Funds","Annual LIHTC Allocation Amount"
"CAA19930110","GREENWOOD/15TH STREET","1747 15TH ST","SANTA MONICA","CA","90404","Los Angeles County","34.019628","-118.478366","70000","9","8","1993","1990","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","97241"
"CAA19930115","GARCIA APTS","1968 19TH ST","SANTA MONICA","CA","90404","Los Angeles County","34.01982","-118.471792","70000","7","6","1993","1990","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","74402"
"CAA19930120","GREENWOOD BERKELEY","1544 BERKELEY ST","SANTA MONICA","CA","90404","Los Angeles County","34.034793","-118.467146","70000","7","5","1993","1990","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","55894"
"CAA19930135","HENDERSON HOMES","3804 WISCONSIN ST","LOS ANGELES","CA","90037","Los Angeles County","34.016774","-118.292879","44000","11","11","1993","1991","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","127322"
"CAA19930140","KOREAN YOUTH CENTER APTS","3987 W SEVENTH ST","LOS ANGELES","CA","90005","Los Angeles County","34.059964","-118.313698","44000","19","19","1993","1991","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","188058"
"CAA19930185","OLYMPIA HOTEL","1201 E SEVENTH ST","LOS ANGELES","CA","90021","Los Angeles County","34.037716","-118.242134","44000","48","48","1993","1990","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","298141"
"CAA19930220","ROBINSON VILLA","3845 WISCONSIN ST","LOS ANGELES","CA","90037","Los Angeles County","34.016352","-118.293271","44000","12","12","1993","1991","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","143976"
"CAA19930230","SAN FELIPE HOMES","690 N HERBERT AVE","LOS ANGELES","CA","90063","Los Angeles County","34.044631","-118.182774","20802","20","20","1993","1991","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","363055"
"CAA19930265","LONGHORN PAVILION","36523 25TH ST E","PALMDALE","CA","93550","Los Angeles County","34.551837","-118.086383","55156","304","304","1993","1993","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","2749831"
"CAA19930325","VIRGINIA VILLAGE","2425 VIRGINIA AVE","SANTA MONICA","CA","90404","Los Angeles County","34.024633","-118.465853","70000","13","12","1993","1991","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","117627"
"CAA19930341","CLAREMONT VILLAS SENIOR","100 S INDIAN HILL BLVD","CLAREMONT","CA","91711","Los Angeles County","34.093395","-117.719063","13756","154","153","1993","1993","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","1045847"
"CAA19930346","MARINA POINTE APTS","13603 MARINA POINTE DR","MARINA DEL REY","CA","90292","Los Angeles County","33.985579","-118.444071","44000","583","117","1993","1993","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","490127"
"CAA19940040","BEECHWOOD TERRACE","1117 ELM AVE","LONG BEACH","CA","90813","Los Angeles County","33.781106","-118.188205","43000","25","25","1994","1993","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","345178"
"CAA19940045","BEVERLY CITY LIGHTS","107 S CARONDELET ST","LOS ANGELES","CA","90057","Los Angeles County","34.068285","-118.275021","44000","40","40","1994","1992","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","341168"
"CAA19940060","CASA BERENDO","1240 N BERENDO ST","LOS ANGELES","CA","90029","Los Angeles County","34.094226","-118.294454","44000","20","20","1994","1993","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","252810"
"CAA19940080","COLDEN OAKS","225 E COLDEN AVE","LOS ANGELES","CA","90003","Los Angeles County","33.949381","-118.270819","44000","38","38","1994","1992","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","224776"
"CAA19940090","CRESCENT COURT","1412 W 12TH ST","LOS ANGELES","CA","90015","Los Angeles County","34.044792","-118.273316","44000","32","32","1994","1992","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","386549"
"CAA19940095","CURRY TEMPLE SENIOR APTS","1001 N HICKORY AVE","COMPTON","CA","90220","Los Angeles County","33.902739","-118.22867","15044","48","48","1994","1992","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","355184"
"CAA19940160","HILLVIEW VILLAGE","12408 VAN NUYS BLVD","PACOIMA","CA","91331","Los Angeles County","34.279296","-118.403689","44000","50","49","1994","1993","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","338810"
"CAA19940165","HOPE WEST APTS","1231 W BLVD","LOS ANGELES","CA","90019","Los Angeles County","34.050938","-118.333071","44000","17","17","1994","1992","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","258337"
"CAA19940190","LAS BRISAS","200 N BIXEL ST","LOS ANGELES","CA","90026","Los Angeles County","34.062757","-118.255165","44000","30","30","1994","1992","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","351860"
"CAA19940200","LAUREL NORTON INTER GENERATIONAL COMMUNITY APARTME","1217 N LAUREL AVE","WEST HOLLYWOOD","CA","90046","Los Angeles County","34.092238","-118.364639","84410","41","40","1994","1992","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","458280"
"CAA19940215","LUCAS STUDIOS PROJECT","1203 W SEVENTH ST","LOS ANGELES","CA","90017","Los Angeles County","34.051644","-118.265739","44000","218","218","1994","1994","For-Profit Sponsor","Information Not Available","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","",""
"CAA19940220","MARION HOTEL","642 CROCKER ST","LOS ANGELES","CA","90021","Los Angeles County","34.040521","-118.245176","44000","44","44","1994","1992","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","334498"
"CAA19940225","MARY ANDREWS CLARK RESIDENCE","306 LOMA DR","LOS ANGELES","CA","90017","Los Angeles County","34.059619","-118.265578","44000","152","152","1994","1993","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","1107358"
